Weld,C,Mn,Si,S,P,Ti,B,Al,N,O,Cr ,Ni,Mo,V,Cu ,Nb,YS,TS,Temp
A3Ni,0.062,0.62,0.29,0.007,0.007,0.0006,0.0002,0.0005,0.0072,0.05,0.03,3.01,0.005,0.0005,0.03,0.0005,457,543,-65
A3Ni,0.057,0.65,0.3,0.007,0.007,0.0036,0.0002,0.0005,0.0072,0.046,0.03,3.03,0.005,0.0005,0.03,0.0005,477,557,-85
A3Ni,0.059,0.63,0.31,0.007,0.007,0.0082,0.0002,0.0005,0.0064,0.0426,0.03,3,0.005,0.0005,0.03,0.0005,489,571,-75
A3Ni,0.065,0.65,0.35,0.007,0.006,0.015,0.0002,0.0005,0.0068,0.0384,0.03,3,0.005,0.0005,0.03,0.0005,490,576,-74
A3Ni,0.069,0.67,0.39,0.006,0.011,0.022,0.0002,0.0005,0.007,0.0328,0.03,2.96,0.005,0.0005,0.03,0.0005,533,599,-75
A3Ni,0.064,0.65,0.3,0.004,0.008,0.0006,0.0002,0.0005,0.0051,0.04,0.03,2.88,0.005,0.0005,0.03,0.0005,477,549,-68
A3Ni,0.063,0.65,0.28,0.005,0.008,0.0035,0.0002,0.0005,0.0053,0.0363,0.03,2.82,0.005,0.0005,0.03,0.0005,479,545,-83
A3Ni,0.061,0.63,0.29,0.004,0.007,0.0087,0.0002,0.0005,0.0055,0.0361,0.03,2.89,0.005,0.0005,0.03,0.0005,468,537,-82
A3Ni,0.062,0.6,0.25,0.004,0.009,0.014,0.0002,0.0005,0.0057,0.035,0.03,2.83,0.005,0.0005,0.03,0.0005,476,545,-85
A3Ni,0.066,0.63,0.32,0.004,0.008,0.026,0.0002,0.0005,0.0056,0.0314,0.03,2.93,0.005,0.0005,0.03,0.0005,492,550,-82
A3Ni,0.071,0.63,0.39,0.004,0.008,0.0006,0.0002,0.0005,0.0041,0.0279,0.03,2.73,0.005,0.0005,0.03,0.0005,483,570,-72
A3Ni,0.07,0.65,0.39,0.003,0.009,0.006,0.0002,0.0005,0.0043,0.0269,0.03,2.78,0.005,0.0005,0.03,0.0005,490,561,-86
A3Ni,0.068,0.65,0.29,0.003,0.01,0.011,0.0002,0.0005,0.005,0.0272,0.03,2.79,0.005,0.0005,0.03,0.0005,507,581,-89
A3Ni,0.068,0.62,0.29,0.003,0.009,0.017,0.0002,0.0005,0.0056,0.0286,0.03,2.78,0.005,0.0005,0.03,0.0005,476,563,-86
A3Ni,0.062,0.57,0.3,0.003,0.008,0.023,0.0002,0.0005,0.0056,0.0277,0.03,2.78,0.005,0.0005,0.03,0.0005,468,551,-87
A5Ni,0.054,0.66,0.31,0.007,0.007,0.0008,0.0002,0.0022,0.0058,0.0495,0.03,5.37,0.005,0.0005,0.03,0.0005,591,655,-65
A5Ni,0.057,0.66,0.32,0.007,0.008,0.0048,0.0002,0.0023,0.0065,0.0469,0.03,5.43,0.005,0.0005,0.03,0.0005,609,665,-69
A5Ni,0.058,0.62,0.3,0.007,0.007,0.0107,0.0002,0.0024,0.006,0.0412,0.03,5.38,0.005,0.0005,0.03,0.0005,611,672,-81
A5Ni,0.063,0.66,0.35,0.006,0.006,0.0177,0.0002,0.0025,0.0067,0.034,0.03,5.48,0.005,0.0005,0.03,0.0005,628,695,-72
A5Ni,0.063,0.65,0.37,0.006,0.006,0.0236,0.0002,0.0005,0.0079,0.0319,0.03,5.45,0.005,0.0005,0.03,0.0005,643,705,-73
A5Ni,0.056,0.23,0.36,0.009,0.006,0.001,0.0002,0.0005,0.0055,0.0557,0.03,5.32,0.005,0.0005,0.03,0.0005,524,599,0
A5Ni,0.056,0.24,0.37,0.008,0.006,0.0058,0.0002,0.0005,0.0052,0.0505,0.03,5.46,0.005,0.0005,0.03,0.0005,544,623,-20
A5Ni,0.057,0.24,0.36,0.008,0.006,0.011,0.0002,0.0005,0.0054,0.0415,0.03,5.48,0.005,0.0005,0.03,0.0005,540,616,-63
A5Ni,0.062,0.25,0.38,0.007,0.006,0.019,0.0002,0.0005,0.0057,0.0356,0.03,5.37,0.005,0.0005,0.03,0.0005,554,632,-63
A5Ni,0.066,0.27,0.42,0.007,0.006,0.028,0.0002,0.0005,0.0054,0.0312,0.03,5.37,0.005,0.0005,0.03,0.0005,596,674,-64
A5Ni,0.068,0.7,0.38,0.006,0.007,0.0009,0.0002,0.0005,0.0039,0.036,0.03,4.91,0.005,0.0005,0.03,0.0005,618,686,-64
A5Ni,0.064,0.71,0.34,0.005,0.007,0.0047,0.0002,0.0005,0.0047,0.037,0.03,4.94,0.005,0.0005,0.03,0.0005,619,679,-70
A5Ni,0.068,0.67,0.34,0.005,0.007,0.011,0.0002,0.0005,0.0039,0.0344,0.03,4.99,0.005,0.0005,0.03,0.0005,631,690,-60
A5Ni,0.067,0.61,0.28,0.006,0.007,0.016,0.0002,0.0005,0.0054,0.0348,0.03,5.01,0.005,0.0005,0.03,0.0005,615,695,-74
A5Ni,0.07,0.69,0.33,0.004,0.007,0.025,0.0002,0.0005,0.0057,0.0312,0.03,4.96,0.005,0.0005,0.03,0.0005,630,699,-67
A5Ni,0.075,0.67,0.43,0.004,0.009,0.0007,0.0002,0.0005,0.0038,0.026,0.03,4.8,0.005,0.0005,0.03,0.0005,602,678,-67
A5Ni,0.074,0.66,0.42,0.004,0.008,0.007,0.0002,0.0005,0.0042,0.0255,0.03,4.9,0.005,0.0005,0.03,0.0005,646,708,-70
A5Ni,0.075,0.64,0.39,0.004,0.008,0.013,0.0002,0.0005,0.0043,0.0253,0.03,4.88,0.005,0.0005,0.03,0.0005,641,705,-63
A5Ni,0.068,0.64,0.32,0.004,0.009,0.019,0.0002,0.0005,0.0047,0.0277,0.03,4.83,0.005,0.0005,0.03,0.0005,626,699,-64
A5Ni,0.067,0.59,0.32,0.004,0.009,0.028,0.0002,0.0005,0.0055,0.0265,0.03,4.78,0.005,0.0005,0.03,0.0005,620,687,-81
AB,0.063,0.64,0.36,0.007,0.007,0.0005,0.0005,0.0005,0.0062,0.0479,0.03,0.03,0.005,0.0005,0.03,0.0005,407,481,-53
AB,0.065,0.66,0.36,0.008,0.009,0.0007,0.003,0.0005,0.0073,0.0435,0.03,0.03,0.005,0.0005,0.03,0.0005,400,478,-50
AB,0.063,0.65,0.39,0.008,0.009,0.0003,0.0058,0.0005,0.0068,0.0453,0.03,0.03,0.005,0.0005,0.03,0.0005,394,471,-53
AB,0.068,0.68,0.36,0.009,0.008,0.0007,0.0099,0.0005,0.0077,0.0444,0.03,0.03,0.005,0.0005,0.03,0.0005,373,454,-51
AB,0.064,0.66,0.43,0.01,0.01,0.0009,0.0126,0.0005,0.0063,0.0527,0.03,0.03,0.005,0.0005,0.03,0.0005,400,472,-57
AB,0.066,0.69,0.4,0.008,0.008,0.0003,0.0171,0.0005,0.007,0.0437,0.03,0.03,0.005,0.0005,0.03,0.0005,381,481,-52
AB,0.073,0.64,0.35,0.005,0.004,0.0038,0.0003,0.0005,0.0077,0.0428,0.03,0.03,0.005,0.0005,0.03,0.0005,402,494,-45
AB,0.066,0.67,0.38,0.008,0.01,0.0034,0.003,0.0005,0.0067,0.0539,0.03,0.03,0.005,0.0005,0.03,0.0005,445,499,-35
AB,0.062,0.68,0.45,0.009,0.01,0.004,0.0067,0.0005,0.0062,0.0526,0.03,0.03,0.005,0.0005,0.03,0.0005,437,485,-30
AB,0.061,0.67,0.45,0.009,0.01,0.0042,0.0106,0.0005,0.0059,0.0522,0.03,0.03,0.005,0.0005,0.03,0.0005,409,466,-42
AB,0.065,0.66,0.48,0.008,0.01,0.0044,0.0144,0.0005,0.0064,0.051,0.03,0.03,0.005,0.0005,0.03,0.0005,410,471,-48
AB,0.061,0.67,0.43,0.008,0.008,0.0045,0.0186,0.0005,0.006,0.0485,0.03,0.03,0.005,0.0005,0.03,0.0005,415,479,-44
ACrTi,0.07,0.65,0.32,0.008,0.008,0.0005,0.0002,0.0005,0.0068,0.0481,0.53,0.03,0.005,0.0005,0.03,0.0005,417,498,-60
ACrTi,0.071,0.65,0.31,0.007,0.006,0.0034,0.0002,0.0005,0.007,0.045,0.53,0.03,0.005,0.0005,0.03,0.0005,420,494,-47
ACrTi,0.077,0.66,0.29,0.008,0.008,0.008,0.0002,0.0005,0.008,0.0409,0.54,0.03,0.005,0.0005,0.03,0.0005,440,507,-27
